position,orientation,success
"[-0.01892088308041709, -0.02941156842397511, 0.21858057536406342]","(-0.5634142611338196, -0.8249250921241722, -0.04002119280629958, -0.021477124139863232)",False
"[0.005861437883085692, 0.00889446484889616, 0.1896119806838863]","(0.9375974489319172, -0.33974760722762826, -0.028815922275142073, -0.06820725594022374)",False
"[0.011171772936457902, 0.021753099289564943, 0.22371015899009322]","(0.28121158113555395, 0.9569574734798445, -0.0683543890820801, 0.02191159691876162)",True
"[0.020806798551457617, -0.02862866872014805, 0.1898910436046486]","(-0.21731916289903064, -0.9740999437278975, -0.05901243910095597, -0.02047469407652724)",True
"[-0.009653739730491362, -0.021695553442958333, 0.1700984837965684]","(0.2824903316960827, -0.955182918675232, -0.08709792367413172, 0.015451733267102533)",False
"[-0.013599920114421505, -0.012923792911147178, 0.22322677420963008]","(0.12356445340971535, 0.9904801020876147, -0.022754315369412716, -0.056242638221688956)",True
"[0.011713340210646173, -0.008670228751742967, 0.25208391264480606]","(0.7077166629309657, -0.7007427503602156, 0.06646900088959995, -0.060651420001487225)",False
"[-0.003974266472974926, 0.03164114352836642, 0.17084523907719626]","(0.8383419984594802, 0.5411984337563349, 0.05193152011862624, 0.03987563337206651)",False
"[-0.0009305843338020541, 0.007984287815289853, 0.1868525409343363]","(0.577422299754994, 0.8157447477560089, 0.03341975013572844, -0.005207163815832261)",True
"[0.035387819434855534, 0.03897277694536115, 0.1758950584369241]","(0.628033014861758, -0.7769012709879446, -0.018598775393065328, -0.04065750773037795)",False
"[-0.015559402001989875, -0.017856342419690693, 0.2473887972382895]","(0.9934368619116627, 0.09616304659754346, -0.061255851586697704, -0.009142784618219543)",False
"[-0.030697761527509467, 0.03301627986836379, 0.2155846405746669]","(-0.09456698921795118, 0.9874717440053746, 0.0025173460963066126, -0.12629450625370525)",False
"[-0.043133906033130234, -0.011090119233519503, 0.14304845236278121]","(0.6931630640338475, -0.7181986237620175, 0.05189806309580983, 0.031973340964866724)",True
"[-0.0212864550721738, 0.010357496543584655, 0.19395558445419547]","(-0.4434624600039549, -0.895939656530274, -0.01173287096888405, -0.02226023725127475)",True
"[0.029753703239756138, 0.011661960976922741, 0.17654592213308712]","(-0.9946681732399466, -0.10042421007506568, -0.022716503529269377, 0.005844967212181169)",True
"[0.03683687039322825, -0.029691240019383322, 0.22178279755340316]","(0.6548525921694405, -0.75335431770444, 0.05683596317094928, 0.019875306676193166)",True
"[-0.01879731094448901, -0.005058837754920685, 0.2136451812607002]","(-0.6691739389449778, -0.7390681956312477, -0.06993830967087844, -0.0330616769631429)",True
"[0.005150204771667162, -0.030814170230185768, 0.23822660787462618]","(0.9707952483819665, -0.23892885573847913, -0.020876838541495746, -0.005809064211149628)",True
"[-0.02603736403954349, -0.027617308781195723, 0.20027319286487502]","(0.8784925504344918, 0.474403815177395, -0.04935511473562216, -0.02749421076640706)",False
"[-0.0006684508191123283, 0.0029438876990632128, 0.1853848025618213]","(0.7356618379150567, -0.6753769675198416, -0.03993997907883782, 0.032747672441347714)",False
"[0.028242801508167496, -0.012690268579185178, 0.19550212873134712]","(-0.3406324633130349, 0.9400162309625986, -0.013641137799924884, 0.012366479842221207)",True
"[-0.011589441567173444, 0.0010211730813348815, 0.19748235082077106]","(0.9663243327307065, -0.24923564466621656, 0.05608969160347469, 0.030867845668226465)",True
"[0.014961897624029814, -0.01440380513128361, 0.21214925641662785]","(0.9554296328699786, -0.28493619009745186, 0.055933957218559135, 0.05326327662244411)",False
"[0.015082648135566548, -0.007854477481274786, 0.20546781516571086]","(0.9837533129238613, 0.17716626984125713, -0.019402837877894992, -0.021565296755355973)",False
"[0.01253207908459543, 0.00222603500202198, 0.23414480533329385]","(0.9810987559143461, -0.1752293314231727, -0.07478785668588178, 0.033862797354063015)",False
"[-0.007117401667837288, -1.8154306195448553e-05, 0.19336135256783663]","(-0.9995641376408755, 0.0128811427420716, 0.02434498389179355, -0.01062697808503377)",False
"[0.0016383631934937487, 0.0004268190546722978, 0.17582922118840616]","(0.32703727970589386, -0.9401560505044351, 0.08654856575854085, 0.040774552696634575)",True
"[-0.023191557562998205, -0.003385474424310949, 0.21984985409058086]","(0.8290793316519163, 0.5568695823774295, 0.017942135719901924, -0.04692344633770735)",True
"[0.02156518914310217, -0.007086532353665785, 0.16874465335318398]","(0.9036688405664024, -0.42807460568318445, -0.0030100216529278965, 0.011211526578001578)",True
"[-0.001548175530786721, -0.040017738684753085, 0.19916389406469298]","(-0.9448579396114625, 0.29491027854662977, -0.027858278454593093, -0.13962563476051817)",False
"[0.010328245557239527, -0.01974946767943068, 0.2283454122442141]","(0.9547826285721605, 0.29415605334963446, 0.009707728130558091, -0.0420488819012599)",False
"[0.024854229560400714, 0.005514450749214798, 0.2027704476873084]","(0.01397980247077798, 0.9991010159161977, -0.009240230817461392, -0.03894025234304175)",False
"[-0.006170251018322849, -0.004700690015359248, 0.16033932129521186]","(-0.4177544679087174, 0.9085494006473381, -0.0032216257862662666, -0.0029685439124853353)",True
"[0.0020960707278779305, 0.03093499874321929, 0.20669762124942298]","(0.986435050536814, -0.11759495496247684, 0.0775210247849286, -0.08430781906858202)",False
"[-0.007434071835665697, -0.01479569301146215, 0.2085324636572305]","(0.9878971603245738, 0.14363327544374357, 0.05772352856838151, -0.009832449214741202)",True
"[-0.0066369365993066325, -0.049305172967640525, 0.20813880138037583]","(-0.48044825099172717, -0.87116900675102, 0.01595493821379064, 0.09989734602093123)",True
"[-0.010185630768163065, 0.012177198059138172, 0.1767631215117929]","(0.07902220356523648, 0.9959949128703734, 0.041781566386001015, -0.0019813102643915317)",False
"[0.010932124903818858, 0.007678139848204271, 0.1897525198342448]","(-0.0481834917589991, -0.9978539240904523, 0.017593811735055052, 0.040698342568561065)",True
"[-0.0053200196483584, 0.010337863838637405, 0.2238429251223093]","(0.018006415264697467, 0.9940282304551697, -0.10136404075225368, 0.03617979145676147)",True
"[-0.0010087257979270545, 0.0174506004567745, 0.1717886576147734]","(0.9415896057761973, 0.32403616355934584, 0.025402167844118303, 0.08811531574468486)",False
"[0.02844564813964456, 0.024403338663986474, 0.1685222581116576]","(0.5378453493042649, 0.8427196280379884, 0.013920944236975727, 0.018767420249971092)",False
"[0.0020511553394078406, 0.04257887901306345, 0.21565407517706836]","(0.9792913243455786, -0.19906319845311685, -0.026542494878231432, 0.025648412206935887)",True
"[-0.016701473275242223, -0.00446839052174676, 0.20486016715521366]","(-0.49164804649985167, 0.8700491743980705, 0.031973176386267704, 0.016563468655093616)",True
"[-0.0047769518073602505, 0.01585386490130739, 0.20466303219063822]","(0.9500289187593325, -0.29429282018284464, -0.10282595287768113, 0.01623616101788504)",True
"[0.001853681966055954, 0.00011447868063916335, 0.2154146348054846]","(-0.28123396557852587, -0.9550501721422204, 0.09033620923713016, 0.02501988402765207)",False
"[0.004412649214122656, -0.002363595475998913, 0.15893299540375164]","(0.831081888947204, -0.5534951174119984, -0.022865490860641397, 0.049226194172690085)",False
"[-0.011846055263693605, -0.014072978136124042, 0.20451685374025258]","(0.7584430643476282, 0.6514577768184381, -0.011753264311175555, 0.015124283248787155)",False
"[0.014807984541652686, 0.03375132818277105, 0.1667318932942502]","(0.6279534566393334, 0.7772293079369611, -0.01659666359056057, 0.03624375720323676)",True
"[0.010341555258868413, -0.009785032674728132, 0.18604309842989133]","(-0.9974195782249411, 0.04821128323684929, 0.053068639680753524, 0.003684647156958505)",True
"[0.011135349454974337, 0.008955408618445803, 0.1946844699494775]","(0.6705517133536811, -0.7416113924509313, -0.011789017238029722, -0.015295796088957243)",True
"[-0.02574951396194317, 0.03508025057223645, 0.20018761061063714]","(-0.5261404216187792, -0.8433367058261393, 0.04791794394900703, 0.09830222781213618)",True
"[0.007682460730943704, -0.009800984201479257, 0.23833594036968425]","(0.20172320848123304, -0.9792584435163467, -0.018968790972366704, -0.0009126505497237497)",True
"[-0.030236497931313912, -0.023994683651390094, 0.22085599907036443]","(0.9527579558840326, -0.2973492268609289, 0.017423582573062334, -0.059431755444437746)",True
"[0.0020675430760283713, 0.009147417805275839, 0.20865283439287716]","(-0.9711608817443884, 0.19802802575368678, 0.10290394434562664, -0.08391794220350816)",True
"[0.013840856058460624, 0.026869840515812135, 0.1630611210904186]","(-0.358655735223825, 0.9314808346995905, -0.03264096878770414, 0.05142067030885289)",False
"[-0.006336844636472606, -0.004535595763317036, 0.20989725701032272]","(-0.7588629648855236, -0.647093513542122, -0.003170351577490336, 0.07339573644115456)",True
"[-0.0040731650509008436, -0.017114052858719933, 0.22852832882309773]","(-0.9998865957001061, -0.010608237008399564, -0.01068777008422519, -0.0001806030263103812)",True
"[-0.03448287573382444, 0.0021187003609589527, 0.1867253841096449]","(0.9537759507705752, -0.3000196558878214, 0.012807535661717922, 0.01164512099174733)",True
"[0.03769445637042547, -0.025069932386618542, 0.18247119275716656]","(0.9047492989574051, 0.4252938860604241, -0.0012090782231276404, 0.023502226395759458)",True
"[0.003813611325668956, 0.024760560364316352, 0.17296937677739374]","(-0.9464692967792746, -0.3150831506270044, -0.01874711141972392, 0.06757976219640388)",True
"[0.003178504528867131, -0.0030794377879739664, 0.19425312105220113]","(0.9719853997641198, 0.22648207051539063, -0.028732937718104014, 0.055898771637072665)",True
"[0.0009024872258475101, -0.008861274334572886, 0.1365793259911525]","(0.8902807762692516, -0.4526130990590875, 0.022877271119002857, -0.04492385147886503)",False
"[0.002219740269215031, 0.01750156485924528, 0.20150375544183077]","(0.7905216662645738, -0.6115812539133545, 0.030707115025963953, 0.010046796247221773)",True
"[0.0026806041620644184, -0.013175632814808911, 0.17648975688272814]","(0.6554678653644238, 0.748795731131687, 0.0512427313603486, -0.0839107442244389)",False
"[-0.04196802382518528, -0.0019979470402535808, 0.2027115406830848]","(0.936332345648035, -0.3482305540436365, 0.04473568619692579, 0.0039922555279814555)",True
"[0.026191749929372923, -0.013677450719305116, 0.19211668677946575]","(-0.6277001018447282, -0.7777156735977206, -0.019750214187694095, -0.027583368614109607)",False
"[-0.0015437577317791223, -0.05098057860435471, 0.22690019124065441]","(-0.8522221565804166, -0.518445772724844, 0.0015501383196107022, -0.07020664960211075)",False
"[-0.0018526122483697853, 0.012989499123577875, 0.17712566145021746]","(0.30572867515525126, -0.9494612388635901, -0.057029529175580185, -0.04243778841366837)",False
"[0.00961164936411321, 0.025567087466870985, 0.2153268902340514]","(0.3631656499406497, 0.9305290583845662, 0.013267092616121802, -0.045280972368461556)",False
"[-0.0013269833279514456, 0.008334331580049533, 0.18526145123916732]","(0.9970915664180838, -0.05297268695446788, 0.03488547765222179, -0.042252882312717024)",True
"[-0.013199554871413832, 0.040305884648231136, 0.17985426485935874]","(0.36158224927312316, -0.9315071061951149, -0.004422681605396026, 0.039156455483218666)",True
"[0.012971725402074625, -0.03208054303017211, 0.1981384583613518]","(0.4673530749374565, 0.8820426449879215, 0.03212787046129836, 0.0504943136287428)",True
"[0.0009215190278275978, -0.00010390165903737247, 0.2106867604859754]","(0.23179733844052924, -0.9720114093253606, 0.009851497760870204, -0.03696974472566179)",True
"[-0.005222805995578435, 0.02746149325211417, 0.19789238880749727]","(0.622528454629697, 0.7820905246144425, 0.025493763416071735, 0.01195000048338314)",True
"[-0.010215116985127034, -0.048250265489158166, 0.2382033045266863]","(0.9988908790071831, -0.03936817768978446, 0.02545141026371083, 0.004402742012771307)",False
"[0.019269142313976705, -0.0010834599293217582, 0.20921460171506745]","(0.49830371987533745, 0.8667136119541724, -0.02146440763408229, 0.006340095951292381)",True
"[0.05085350152300729, 0.019795893928227372, 0.20504194024060543]","(0.9628065758942658, 0.24646927079137365, -0.03473839400162696, -0.10511726762295455)",False
"[-0.012216372582825992, 0.013843209039834862, 0.2179546542483872]","(-0.5164412288090564, 0.8556260842188488, 0.001429368990043761, 0.034502436070539294)",True
"[-0.0009040991577515642, 0.04224704810958068, 0.21130974071138503]","(0.9275051496631804, -0.3733266099772674, 0.008740084031864267, -0.016883440475172602)",False
"[0.010757880023183201, -0.006520448918930041, 0.20077474477028592]","(0.11026389597141976, 0.9917162153399354, -0.030860488251821465, 0.058210409222906344)",True
"[-0.006854090465198566, 0.03164590286169011, 0.22109968978300407]","(0.8353832801835054, 0.5201204990974939, -0.04420761005475703, 0.17220664569541871)",True
"[0.005181537646998967, 0.003364775587042643, 0.1792886895239895]","(0.3376524855402083, 0.9393754130372289, 0.033174336927032075, -0.04963965913568224)",True
"[-0.02081671439799187, -0.004149589453878637, 0.19145975770738416]","(0.9939634573659671, 0.10638022885464622, -0.02232607290525193, 0.014880819821356063)",True
"[0.01583468125656674, 0.02779746553339271, 0.21350860030053687]","(0.42264443078632924, 0.9056933028546619, 0.0241904183420711, -0.02249777655567598)",False
"[0.02804253220731207, 0.02077593603639681, 0.1991729150338681]","(-0.2846034854544931, -0.956230423594, 0.007510758184162578, 0.06758566099323611)",True
"[-0.027052400967673244, 0.014390960794662986, 0.23611124414152462]","(0.870842744685509, -0.49150336092091695, 0.0074160168532101415, -0.0015371812141699278)",False
"[0.011514236080987752, 0.005016500646207591, 0.22073373542535568]","(0.8912995721172774, 0.4510472060986959, -0.03577205336723793, -0.029357295720319213)",False
"[0.024677260379948204, 0.022471799564684126, 0.18727239076114893]","(-0.432765422480733, -0.8972901194712024, -0.00023604174362041458, 0.0870888907308115)",False
"[0.004553253441745072, 0.030412588230093515, 0.18896084614207412]","(0.10679653187880975, 0.9924136980274703, -0.04617903772418262, 0.03971207903104514)",True
"[0.033950998918711256, -0.01318480998158047, 0.2068255169524247]","(0.8970105280379502, 0.4413927927688499, 0.008382266587791912, 0.021777343447819057)",False
"[-0.011026078958882017, -0.009241416863022066, 0.2077597648029804]","(0.7281406269163464, 0.6747215604817098, -0.06326654760501998, 0.10275887897957198)",False
"[-0.00988324318751219, 0.010185898727468865, 0.1731081263537989]","(-0.5470670353852788, 0.8348039318582046, -0.041391121674141745, -0.045900209099748936)",True
